Name,Branch,Year,CGPA, bool,div,Mob no.,Blood group,xyz,pqr
text2827,branch2827,2023-02-22 12:51:25.887677,96,True,text2827,branch2827,2023-02-22 12:51:25.887679,71,False
text2828,branch2828,2023-02-22 12:51:25.887682,28,True,text2828,branch2828,2023-02-22 12:51:25.887684,56,True
text2829,branch2829,2023-02-22 12:51:25.887686,78,True,text2829,branch2829,2023-02-22 12:51:25.887688,62,True
text2830,branch2830,2023-02-22 12:51:25.887694,71,True,text2830,branch2830,2023-02-22 12:51:25.887697,46,True
text2831,branch2831,2023-02-22 12:51:25.887700,57,False,text2831,branch2831,2023-02-22 12:51:25.887702,35,False
text2832,branch2832,2023-02-22 12:51:25.887704,14,False,text2832,branch2832,2023-02-22 12:51:25.887706,71,True
text2833,branch2833,2023-02-22 12:51:25.887708,12,False,text2833,branch2833,2023-02-22 12:51:25.887710,46,False
text2834,branch2834,2023-02-22 12:51:25.887713,63,True,text2834,branch2834,2023-02-22 12:51:25.887718,58,False
text2835,branch2835,2023-02-22 12:51:25.887720,66,False,text2835,branch2835,2023-02-22 12:51:25.887723,70,False
text2836,branch2836,2023-02-22 12:51:25.887725,65,True,text2836,branch2836,2023-02-22 12:51:25.887727,30,True
text2837,branch2837,2023-02-22 12:51:25.887729,78,True,text2837,branch2837,2023-02-22 12:51:25.887731,92,True
text2838,branch2838,2023-02-22 12:51:25.887733,64,True,text2838,branch2838,2023-02-22 12:51:25.887736,85,True
text2839,branch2839,2023-02-22 12:51:25.887738,10,True,text2839,branch2839,2023-02-22 12:51:25.887740,79,True
text2840,branch2840,2023-02-22 12:51:25.887742,21,True,text2840,branch2840,2023-02-22 12:51:25.887744,90,False
text2841,branch2841,2023-02-22 12:51:25.887747,48,True,text2841,branch2841,2023-02-22 12:51:25.887749,80,True
text2842,branch2842,2023-02-22 12:51:25.887751,97,True,text2842,branch2842,2023-02-22 12:51:25.887753,31,True
text2843,branch2843,2023-02-22 12:51:25.887755,52,True,text2843,branch2843,2023-02-22 12:51:25.887758,79,False
text2844,branch2844,2023-02-22 12:51:25.887760,95,False,text2844,branch2844,2023-02-22 12:51:25.887762,89,True
text2845,branch2845,2023-02-22 12:51:25.887764,90,True,text2845,branch2845,2023-02-22 12:51:25.887806,65,True
text2846,branch2846,2023-02-22 12:51:25.887808,87,False,text2846,branch2846,2023-02-22 12:51:25.887811,90,False
text2847,branch2847,2023-02-22 12:51:25.887814,36,True,text2847,branch2847,2023-02-22 12:51:25.887819,64,True
text2848,branch2848,2023-02-22 12:51:25.887821,12,False,text2848,branch2848,2023-02-22 12:51:25.887823,13,True
text2849,branch2849,2023-02-22 12:51:25.887826,24,True,text2849,branch2849,2023-02-22 12:51:25.887828,57,False
text2850,branch2850,2023-02-22 12:51:25.887830,41,True,text2850,branch2850,2023-02-22 12:51:25.887832,35,False
text2851,branch2851,2023-02-22 12:51:25.887835,31,False,text2851,branch2851,2023-02-22 12:51:25.887837,84,True
text2852,branch2852,2023-02-22 12:51:25.887839,60,False,text2852,branch2852,2023-02-22 12:51:25.887841,50,True
text2853,branch2853,2023-02-22 12:51:25.887843,66,False,text2853,branch2853,2023-02-22 12:51:25.887845,80,True
text2854,branch2854,2023-02-22 12:51:25.887848,11,False,text2854,branch2854,2023-02-22 12:51:25.887850,18,True
text2855,branch2855,2023-02-22 12:51:25.887852,37,False,text2855,branch2855,2023-02-22 12:51:25.887854,67,False
text2856,branch2856,2023-02-22 12:51:25.887856,50,True,text2856,branch2856,2023-02-22 12:51:25.887858,20,False
text2857,branch2857,2023-02-22 12:51:25.887861,10,False,text2857,branch2857,2023-02-22 12:51:25.887863,43,False
text2858,branch2858,2023-02-22 12:51:25.887865,94,False,text2858,branch2858,2023-02-22 12:51:25.887867,93,False
text2859,branch2859,2023-02-22 12:51:25.887869,41,False,text2859,branch2859,2023-02-22 12:51:25.887871,79,True
text2860,branch2860,2023-02-22 12:51:25.887876,40,True,text2860,branch2860,2023-02-22 12:51:25.887882,51,True
text2861,branch2861,2023-02-22 12:51:25.887884,87,True,text2861,branch2861,2023-02-22 12:51:25.887887,73,True
text2862,branch2862,2023-02-22 12:51:25.887890,47,True,text2862,branch2862,2023-02-22 12:51:25.887892,75,False
text2863,branch2863,2023-02-22 12:51:25.887895,93,False,text2863,branch2863,2023-02-22 12:51:25.887897,35,False
text2864,branch2864,2023-02-22 12:51:25.887899,61,True,text2864,branch2864,2023-02-22 12:51:25.887901,24,True
text2865,branch2865,2023-02-22 12:51:25.887903,81,True,text2865,branch2865,2023-02-22 12:51:25.887905,27,False
text2866,branch2866,2023-02-22 12:51:25.887908,62,True,text2866,branch2866,2023-02-22 12:51:25.887910,37,False
text2867,branch2867,2023-02-22 12:51:25.887912,35,False,text2867,branch2867,2023-02-22 12:51:25.887914,85,True
text2868,branch2868,2023-02-22 12:51:25.887916,70,False,text2868,branch2868,2023-02-22 12:51:25.887918,11,True
text2869,branch2869,2023-02-22 12:51:25.887920,24,False,text2869,branch2869,2023-02-22 12:51:25.887923,27,True
text2870,branch2870,2023-02-22 12:51:25.887925,45,False,text2870,branch2870,2023-02-22 12:51:25.887927,100,True
text2871,branch2871,2023-02-22 12:51:25.887929,45,False,text2871,branch2871,2023-02-22 12:51:25.887931,42,True
text2872,branch2872,2023-02-22 12:51:25.887934,35,True,text2872,branch2872,2023-02-22 12:51:25.887940,15,True
text2873,branch2873,2023-02-22 12:51:25.887942,57,False,text2873,branch2873,2023-02-22 12:51:25.887944,62,False
text2874,branch2874,2023-02-22 12:51:25.887946,40,False,text2874,branch2874,2023-02-22 12:51:25.887948,75,False
text2875,branch2875,2023-02-22 12:51:25.887951,48,False,text2875,branch2875,2023-02-22 12:51:25.887953,91,True
text2876,branch2876,2023-02-22 12:51:25.887955,11,False,text2876,branch2876,2023-02-22 12:51:25.887957,11,False
text2877,branch2877,2023-02-22 12:51:25.887959,46,False,text2877,branch2877,2023-02-22 12:51:25.887961,85,True
text2878,branch2878,2023-02-22 12:51:25.887963,42,False,text2878,branch2878,2023-02-22 12:51:25.887965,24,True
text2879,branch2879,2023-02-22 12:51:25.887968,80,False,text2879,branch2879,2023-02-22 12:51:25.887970,17,True
text2880,branch2880,2023-02-22 12:51:25.887975,42,False,text2880,branch2880,2023-02-22 12:51:25.887977,30,False
text2881,branch2881,2023-02-22 12:51:25.887980,44,True,text2881,branch2881,2023-02-22 12:51:25.887982,37,True
text2882,branch2882,2023-02-22 12:51:25.887984,54,True,text2882,branch2882,2023-02-22 12:51:25.887987,72,True
text2883,branch2883,2023-02-22 12:51:25.887989,98,True,text2883,branch2883,2023-02-22 12:51:25.887991,75,True
text2884,branch2884,2023-02-22 12:51:25.887993,52,False,text2884,branch2884,2023-02-22 12:51:25.887995,34,True
text2885,branch2885,2023-02-22 12:51:25.888033,65,True,text2885,branch2885,2023-02-22 12:51:25.888037,17,True
text2886,branch2886,2023-02-22 12:51:25.888040,93,True,text2886,branch2886,2023-02-22 12:51:25.888042,86,False
text2887,branch2887,2023-02-22 12:51:25.888044,13,True,text2887,branch2887,2023-02-22 12:51:25.888046,81,True
text2888,branch2888,2023-02-22 12:51:25.888048,37,True,text2888,branch2888,2023-02-22 12:51:25.888051,53,True
text2889,branch2889,2023-02-22 12:51:25.888053,80,True,text2889,branch2889,2023-02-22 12:51:25.888055,35,True
text2890,branch2890,2023-02-22 12:51:25.888057,42,False,text2890,branch2890,2023-02-22 12:51:25.888059,49,False
text2891,branch2891,2023-02-22 12:51:25.888061,77,True,text2891,branch2891,2023-02-22 12:51:25.888063,73,False
text2892,branch2892,2023-02-22 12:51:25.888066,20,False,text2892,branch2892,2023-02-22 12:51:25.888068,95,True
text2893,branch2893,2023-02-22 12:51:25.888070,41,False,text2893,branch2893,2023-02-22 12:51:25.888072,40,True
text2894,branch2894,2023-02-22 12:51:25.888074,84,True,text2894,branch2894,2023-02-22 12:51:25.888076,48,False
text2895,branch2895,2023-02-22 12:51:25.888078,20,False,text2895,branch2895,2023-02-22 12:51:25.888080,16,False
text2896,branch2896,2023-02-22 12:51:25.888083,93,False,text2896,branch2896,2023-02-22 12:51:25.888085,18,True
text2897,branch2897,2023-02-22 12:51:25.888087,12,True,text2897,branch2897,2023-02-22 12:51:25.888097,85,False
text2898,branch2898,2023-02-22 12:51:25.888100,53,True,text2898,branch2898,2023-02-22 12:51:25.888102,46,True
text2899,branch2899,2023-02-22 12:51:25.888104,55,False,text2899,branch2899,2023-02-22 12:51:25.888106,40,False
text2900,branch2900,2023-02-22 12:51:25.888108,88,True,text2900,branch2900,2023-02-22 12:51:25.888110,20,True
text2901,branch2901,2023-02-22 12:51:25.888113,68,False,text2901,branch2901,2023-02-22 12:51:25.888115,31,True
text2902,branch2902,2023-02-22 12:51:25.888117,48,False,text2902,branch2902,2023-02-22 12:51:25.888123,11,True
text2903,branch2903,2023-02-22 12:51:25.888125,29,False,text2903,branch2903,2023-02-22 12:51:25.888127,51,True
text2904,branch2904,2023-02-22 12:51:25.888129,50,True,text2904,branch2904,2023-02-22 12:51:25.888131,55,True
text2905,branch2905,2023-02-22 12:51:25.888134,84,True,text2905,branch2905,2023-02-22 12:51:25.888136,87,True
text2906,branch2906,2023-02-22 12:51:25.888139,16,False,text2906,branch2906,2023-02-22 12:51:25.888141,57,True
text2907,branch2907,2023-02-22 12:51:25.888143,12,False,text2907,branch2907,2023-02-22 12:51:25.888145,70,True
text2908,branch2908,2023-02-22 12:51:25.888147,79,True,text2908,branch2908,2023-02-22 12:51:25.888149,18,True
text2909,branch2909,2023-02-22 12:51:25.888151,68,False,text2909,branch2909,2023-02-22 12:51:25.888153,15,True
text2910,branch2910,2023-02-22 12:51:25.888156,22,False,text2910,branch2910,2023-02-22 12:51:25.888161,56,True
text2911,branch2911,2023-02-22 12:51:25.888163,24,True,text2911,branch2911,2023-02-22 12:51:25.888165,79,False
text2912,branch2912,2023-02-22 12:51:25.888167,76,True,text2912,branch2912,2023-02-22 12:51:25.888169,99,False
text2913,branch2913,2023-02-22 12:51:25.888172,74,False,text2913,branch2913,2023-02-22 12:51:25.888174,16,True
text2914,branch2914,2023-02-22 12:51:25.888176,96,True,text2914,branch2914,2023-02-22 12:51:25.888178,82,False
text2915,branch2915,2023-02-22 12:51:25.888180,100,True,text2915,branch2915,2023-02-22 12:51:25.888182,68,True
text2916,branch2916,2023-02-22 12:51:25.888185,84,False,text2916,branch2916,2023-02-22 12:51:25.888187,35,True
text2917,branch2917,2023-02-22 12:51:25.888189,72,True,text2917,branch2917,2023-02-22 12:51:25.888191,71,True
text2918,branch2918,2023-02-22 12:51:25.888193,86,False,text2918,branch2918,2023-02-22 12:51:25.888196,64,False
text2919,branch2919,2023-02-22 12:51:25.888198,55,True,text2919,branch2919,2023-02-22 12:51:25.888200,31,False
text2920,branch2920,2023-02-22 12:51:25.888203,11,False,text2920,branch2920,2023-02-22 12:51:25.888205,56,True
text2921,branch2921,2023-02-22 12:51:25.888207,75,True,text2921,branch2921,2023-02-22 12:51:25.888209,87,True
text2922,branch2922,2023-02-22 12:51:25.888211,52,True,text2922,branch2922,2023-02-22 12:51:25.888213,100,False
text2923,branch2923,2023-02-22 12:51:25.888218,78,False,text2923,branch2923,2023-02-22 12:51:25.888220,76,True
text2924,branch2924,2023-02-22 12:51:25.888222,12,True,text2924,branch2924,2023-02-22 12:51:25.888224,66,False
text2925,branch2925,2023-02-22 12:51:25.888226,56,True,text2925,branch2925,2023-02-22 12:51:25.888229,36,False
text2926,branch2926,2023-02-22 12:51:25.888231,99,False,text2926,branch2926,2023-02-22 12:51:25.888233,79,True
text2927,branch2927,2023-02-22 12:51:25.888235,83,True,text2927,branch2927,2023-02-22 12:51:25.888237,94,False
text2928,branch2928,2023-02-22 12:51:25.888239,82,True,text2928,branch2928,2023-02-22 12:51:25.888241,29,True
text2929,branch2929,2023-02-22 12:51:25.888244,21,False,text2929,branch2929,2023-02-22 12:51:25.888246,46,False
text2930,branch2930,2023-02-22 12:51:25.888251,29,False,text2930,branch2930,2023-02-22 12:51:25.888255,20,True
text2931,branch2931,2023-02-22 12:51:25.888257,93,True,text2931,branch2931,2023-02-22 12:51:25.888259,56,True
text2932,branch2932,2023-02-22 12:51:25.888262,96,True,text2932,branch2932,2023-02-22 12:51:25.888264,87,False
text2933,branch2933,2023-02-22 12:51:25.888266,26,False,text2933,branch2933,2023-02-22 12:51:25.888268,42,False
text2934,branch2934,2023-02-22 12:51:25.888270,67,False,text2934,branch2934,2023-02-22 12:51:25.888272,93,True
text2935,branch2935,2023-02-22 12:51:25.888275,38,True,text2935,branch2935,2023-02-22 12:51:25.888280,65,False
text2936,branch2936,2023-02-22 12:51:25.888282,79,False,text2936,branch2936,2023-02-22 12:51:25.888284,70,True
text2937,branch2937,2023-02-22 12:51:25.888287,100,True,text2937,branch2937,2023-02-22 12:51:25.888289,17,True
text2938,branch2938,2023-02-22 12:51:25.888292,54,False,text2938,branch2938,2023-02-22 12:51:25.888294,76,False
text2939,branch2939,2023-02-22 12:51:25.888296,31,True,text2939,branch2939,2023-02-22 12:51:25.888298,55,False
text2940,branch2940,2023-02-22 12:51:25.888301,74,False,text2940,branch2940,2023-02-22 12:51:25.888303,67,True
text2941,branch2941,2023-02-22 12:51:25.888305,100,False,text2941,branch2941,2023-02-22 12:51:25.888307,37,False
text2942,branch2942,2023-02-22 12:51:25.888309,85,False,text2942,branch2942,2023-02-22 12:51:25.888311,75,True
text2943,branch2943,2023-02-22 12:51:25.888314,85,False,text2943,branch2943,2023-02-22 12:51:25.888316,44,True
text2944,branch2944,2023-02-22 12:51:25.888318,13,True,text2944,branch2944,2023-02-22 12:51:25.888323,82,False
text2945,branch2945,2023-02-22 12:51:25.888326,41,False,text2945,branch2945,2023-02-22 12:51:25.888328,64,False
text2946,branch2946,2023-02-22 12:51:25.888330,36,True,text2946,branch2946,2023-02-22 12:51:25.888332,99,True
text2947,branch2947,2023-02-22 12:51:25.888334,19,False,text2947,branch2947,2023-02-22 12:51:25.888336,18,False
text2948,branch2948,2023-02-22 12:51:25.888342,23,False,text2948,branch2948,2023-02-22 12:51:25.888344,66,False
text2949,branch2949,2023-02-22 12:51:25.888346,16,True,text2949,branch2949,2023-02-22 12:51:25.888348,71,True
text2950,branch2950,2023-02-22 12:51:25.888350,28,False,text2950,branch2950,2023-02-22 12:51:25.888352,36,False
text2951,branch2951,2023-02-22 12:51:25.888355,22,True,text2951,branch2951,2023-02-22 12:51:25.888357,43,True
text2952,branch2952,2023-02-22 12:51:25.888359,89,False,text2952,branch2952,2023-02-22 12:51:25.888361,21,True
text2953,branch2953,2023-02-22 12:51:25.888363,93,True,text2953,branch2953,2023-02-22 12:51:25.888365,91,True
text2954,branch2954,2023-02-22 12:51:25.888368,91,False,text2954,branch2954,2023-02-22 12:51:25.888370,25,True
text2955,branch2955,2023-02-22 12:51:25.888372,28,False,text2955,branch2955,2023-02-22 12:51:25.888374,80,True
text2956,branch2956,2023-02-22 12:51:25.888376,42,True,text2956,branch2956,2023-02-22 12:51:25.888378,79,False
text2957,branch2957,2023-02-22 12:51:25.888380,10,False,text2957,branch2957,2023-02-22 12:51:25.888382,25,False
text2958,branch2958,2023-02-22 12:51:25.888389,97,False,text2958,branch2958,2023-02-22 12:51:25.888392,62,True
text2959,branch2959,2023-02-22 12:51:25.888394,45,False,text2959,branch2959,2023-02-22 12:51:25.888396,54,True
text2960,branch2960,2023-02-22 12:51:25.888399,94,False,text2960,branch2960,2023-02-22 12:51:25.888404,87,True
text2961,branch2961,2023-02-22 12:51:25.888406,80,True,text2961,branch2961,2023-02-22 12:51:25.888408,77,False
text2962,branch2962,2023-02-22 12:51:25.888411,97,True,text2962,branch2962,2023-02-22 12:51:25.888413,22,False
text2963,branch2963,2023-02-22 12:51:25.888415,69,False,text2963,branch2963,2023-02-22 12:51:25.888417,52,True
text2964,branch2964,2023-02-22 12:51:25.888419,66,True,text2964,branch2964,2023-02-22 12:51:25.888421,31,True
text2965,branch2965,2023-02-22 12:51:25.888423,43,True,text2965,branch2965,2023-02-22 12:51:25.888426,95,False
text2966,branch2966,2023-02-22 12:51:25.888428,96,False,text2966,branch2966,2023-02-22 12:51:25.888430,37,True
text2967,branch2967,2023-02-22 12:51:25.888432,97,False,text2967,branch2967,2023-02-22 12:51:25.888434,49,True
text2968,branch2968,2023-02-22 12:51:25.888436,71,True,text2968,branch2968,2023-02-22 12:51:25.888438,46,True
text2969,branch2969,2023-02-22 12:51:25.888440,92,False,text2969,branch2969,2023-02-22 12:51:25.888443,52,True
text2970,branch2970,2023-02-22 12:51:25.888445,33,True,text2970,branch2970,2023-02-22 12:51:25.888447,34,False
text2971,branch2971,2023-02-22 12:51:25.888450,52,False,text2971,branch2971,2023-02-22 12:51:25.888452,41,False
text2972,branch2972,2023-02-22 12:51:25.888454,92,True,text2972,branch2972,2023-02-22 12:51:25.888456,44,True
text2973,branch2973,2023-02-22 12:51:25.888458,14,False,text2973,branch2973,2023-02-22 12:51:25.888463,76,False
text2974,branch2974,2023-02-22 12:51:25.888465,62,False,text2974,branch2974,2023-02-22 12:51:25.888467,51,False
text2975,branch2975,2023-02-22 12:51:25.888469,35,False,text2975,branch2975,2023-02-22 12:51:25.888472,59,False
text2976,branch2976,2023-02-22 12:51:25.888474,20,True,text2976,branch2976,2023-02-22 12:51:25.888476,72,True
text2977,branch2977,2023-02-22 12:51:25.888479,60,True,text2977,branch2977,2023-02-22 12:51:25.888481,94,True
text2978,branch2978,2023-02-22 12:51:25.888483,77,False,text2978,branch2978,2023-02-22 12:51:25.888485,48,False
text2979,branch2979,2023-02-22 12:51:25.888487,96,True,text2979,branch2979,2023-02-22 12:51:25.888489,39,True
text2980,branch2980,2023-02-22 12:51:25.888495,54,False,text2980,branch2980,2023-02-22 12:51:25.888497,50,True
text2981,branch2981,2023-02-22 12:51:25.888499,48,False,text2981,branch2981,2023-02-22 12:51:25.888502,13,True
text2982,branch2982,2023-02-22 12:51:25.888504,90,True,text2982,branch2982,2023-02-22 12:51:25.888506,42,True
text2983,branch2983,2023-02-22 12:51:25.888508,32,False,text2983,branch2983,2023-02-22 12:51:25.888510,14,True
text2984,branch2984,2023-02-22 12:51:25.888512,53,True,text2984,branch2984,2023-02-22 12:51:25.888514,82,True
text2985,branch2985,2023-02-22 12:51:25.888517,89,True,text2985,branch2985,2023-02-22 12:51:25.888519,21,True
text2986,branch2986,2023-02-22 12:51:25.888526,59,False,text2986,branch2986,2023-02-22 12:51:25.888531,12,True
text2987,branch2987,2023-02-22 12:51:25.888534,30,True,text2987,branch2987,2023-02-22 12:51:25.888536,97,False
text2988,branch2988,2023-02-22 12:51:25.888538,29,True,text2988,branch2988,2023-02-22 12:51:25.888540,54,True
text2989,branch2989,2023-02-22 12:51:25.888542,30,False,text2989,branch2989,2023-02-22 12:51:25.888544,77,False
text2990,branch2990,2023-02-22 12:51:25.888546,26,False,text2990,branch2990,2023-02-22 12:51:25.888548,72,False
text2991,branch2991,2023-02-22 12:51:25.888551,81,False,text2991,branch2991,2023-02-22 12:51:25.888553,44,True
text2992,branch2992,2023-02-22 12:51:25.888555,58,True,text2992,branch2992,2023-02-22 12:51:25.888557,40,True
text2993,branch2993,2023-02-22 12:51:25.888560,11,False,text2993,branch2993,2023-02-22 12:51:25.888562,44,False
text2994,branch2994,2023-02-22 12:51:25.888564,26,False,text2994,branch2994,2023-02-22 12:51:25.888566,90,False
text2995,branch2995,2023-02-22 12:51:25.888569,27,False,text2995,branch2995,2023-02-22 12:51:25.888571,96,False
text2996,branch2996,2023-02-22 12:51:25.888573,79,False,text2996,branch2996,2023-02-22 12:51:25.888575,77,True
text2997,branch2997,2023-02-22 12:51:25.888577,13,False,text2997,branch2997,2023-02-22 12:51:25.888579,25,True
text2998,branch2998,2023-02-22 12:51:25.888581,94,True,text2998,branch2998,2023-02-22 12:51:25.888586,73,False
text2999,branch2999,2023-02-22 12:51:25.888588,94,False,text2999,branch2999,2023-02-22 12:51:25.888590,91,True
text3000,branch3000,2023-02-22 12:51:25.888593,83,True,text3000,branch3000,2023-02-22 12:51:25.888595,26,True
text3001,branch3001,2023-02-22 12:51:25.888597,70,True,text3001,branch3001,2023-02-22 12:51:25.888599,74,False
text3002,branch3002,2023-02-22 12:51:25.888601,19,False,text3002,branch3002,2023-02-22 12:51:25.888603,15,False
text3003,branch3003,2023-02-22 12:51:25.888605,67,True,text3003,branch3003,2023-02-22 12:51:25.888607,49,True
text3004,branch3004,2023-02-22 12:51:25.888609,13,True,text3004,branch3004,2023-02-22 12:51:25.888612,33,True
text3005,branch3005,2023-02-22 12:51:25.888614,19,True,text3005,branch3005,2023-02-22 12:51:25.888616,36,False
text3006,branch3006,2023-02-22 12:51:25.888618,54,False,text3006,branch3006,2023-02-22 12:51:25.888620,73,True
text3007,branch3007,2023-02-22 12:51:25.888623,70,True,text3007,branch3007,2023-02-22 12:51:25.888625,86,True
text3008,branch3008,2023-02-22 12:51:25.888627,40,True,text3008,branch3008,2023-02-22 12:51:25.888629,66,False
text3009,branch3009,2023-02-22 12:51:25.888631,13,True,text3009,branch3009,2023-02-22 12:51:25.888633,20,True
text3010,branch3010,2023-02-22 12:51:25.888635,91,False,text3010,branch3010,2023-02-22 12:51:25.888638,40,True
text3011,branch3011,2023-02-22 12:51:25.888643,97,False,text3011,branch3011,2023-02-22 12:51:25.888645,13,True
text3012,branch3012,2023-02-22 12:51:25.888647,98,True,text3012,branch3012,2023-02-22 12:51:25.888649,35,True
text3013,branch3013,2023-02-22 12:51:25.888651,73,True,text3013,branch3013,2023-02-22 12:51:25.888653,31,True
text3014,branch3014,2023-02-22 12:51:25.888656,72,False,text3014,branch3014,2023-02-22 12:51:25.888658,42,False
text3015,branch3015,2023-02-22 12:51:25.888660,69,False,text3015,branch3015,2023-02-22 12:51:25.888662,86,False
text3016,branch3016,2023-02-22 12:51:25.888664,89,True,text3016,branch3016,2023-02-22 12:51:25.888667,12,True
text3017,branch3017,2023-02-22 12:51:25.888669,43,False,text3017,branch3017,2023-02-22 12:51:25.888671,36,True
text3018,branch3018,2023-02-22 12:51:25.888673,18,False,text3018,branch3018,2023-02-22 12:51:25.888675,83,True
text3019,branch3019,2023-02-22 12:51:25.888677,24,False,text3019,branch3019,2023-02-22 12:51:25.888679,37,False
text3020,branch3020,2023-02-22 12:51:25.888682,34,True,text3020,branch3020,2023-02-22 12:51:25.888684,20,False
text3021,branch3021,2023-02-22 12:51:25.888686,22,False,text3021,branch3021,2023-02-22 12:51:25.888688,52,True
text3022,branch3022,2023-02-22 12:51:25.888690,93,True,text3022,branch3022,2023-02-22 12:51:25.888692,27,True
text3023,branch3023,2023-02-22 12:51:25.888695,78,True,text3023,branch3023,2023-02-22 12:51:25.888699,16,True
text3024,branch3024,2023-02-22 12:51:25.888702,51,True,text3024,branch3024,2023-02-22 12:51:25.888704,95,False
text3025,branch3025,2023-02-22 12:51:25.888706,67,False,text3025,branch3025,2023-02-22 12:51:25.888709,12,False
text3026,branch3026,2023-02-22 12:51:25.888711,33,True,text3026,branch3026,2023-02-22 12:51:25.888713,24,True
text3027,branch3027,2023-02-22 12:51:25.888715,18,False,text3027,branch3027,2023-02-22 12:51:25.888717,71,False
text3028,branch3028,2023-02-22 12:51:25.888720,15,False,text3028,branch3028,2023-02-22 12:51:25.888725,80,True
text3029,branch3029,2023-02-22 12:51:25.888728,31,False,text3029,branch3029,2023-02-22 12:51:25.888730,66,False
text3030,branch3030,2023-02-22 12:51:25.888734,49,False,text3030,branch3030,2023-02-22 12:51:25.888737,44,True
text3031,branch3031,2023-02-22 12:51:25.888740,26,False,text3031,branch3031,2023-02-22 12:51:25.888742,29,True
text3032,branch3032,2023-02-22 12:51:25.888744,37,False,text3032,branch3032,2023-02-22 12:51:25.888746,58,True
text3033,branch3033,2023-02-22 12:51:25.888749,17,True,text3033,branch3033,2023-02-22 12:51:25.888751,26,True
text3034,branch3034,2023-02-22 12:51:25.888753,73,False,text3034,branch3034,2023-02-22 12:51:25.888755,72,False
text3035,branch3035,2023-02-22 12:51:25.888758,14,False,text3035,branch3035,2023-02-22 12:51:25.888760,85,False
text3036,branch3036,2023-02-22 12:51:25.888762,34,False,text3036,branch3036,2023-02-22 12:51:25.888767,36,True
text3037,branch3037,2023-02-22 12:51:25.888769,34,True,text3037,branch3037,2023-02-22 12:51:25.888771,24,False
text3038,branch3038,2023-02-22 12:51:25.888774,31,False,text3038,branch3038,2023-02-22 12:51:25.888776,99,False
text3039,branch3039,2023-02-22 12:51:25.888778,29,True,text3039,branch3039,2023-02-22 12:51:25.888780,20,True
text3040,branch3040,2023-02-22 12:51:25.888782,91,False,text3040,branch3040,2023-02-22 12:51:25.888784,89,False
text3041,branch3041,2023-02-22 12:51:25.888786,36,False,text3041,branch3041,2023-02-22 12:51:25.888789,75,True
text3042,branch3042,2023-02-22 12:51:25.888791,14,False,text3042,branch3042,2023-02-22 12:51:25.888793,57,True
text3043,branch3043,2023-02-22 12:51:25.888796,53,False,text3043,branch3043,2023-02-22 12:51:25.888798,29,True
text3044,branch3044,2023-02-22 12:51:25.888800,38,True,text3044,branch3044,2023-02-22 12:51:25.888802,81,False
text3045,branch3045,2023-02-22 12:51:25.888804,84,True,text3045,branch3045,2023-02-22 12:51:25.888806,74,False
text3046,branch3046,2023-02-22 12:51:25.888808,88,False,text3046,branch3046,2023-02-22 12:51:25.888811,99,False
text3047,branch3047,2023-02-22 12:51:25.888813,81,True,text3047,branch3047,2023-02-22 12:51:25.888815,70,False
text3048,branch3048,2023-02-22 12:51:25.888817,26,True,text3048,branch3048,2023-02-22 12:51:25.888819,65,False
text3049,branch3049,2023-02-22 12:51:25.888825,38,False,text3049,branch3049,2023-02-22 12:51:25.888828,23,False
text3050,branch3050,2023-02-22 12:51:25.888830,13,True,text3050,branch3050,2023-02-22 12:51:25.888832,47,False
text3051,branch3051,2023-02-22 12:51:25.888835,56,True,text3051,branch3051,2023-02-22 12:51:25.888837,55,False
text3052,branch3052,2023-02-22 12:51:25.888839,95,True,text3052,branch3052,2023-02-22 12:51:25.888841,98,True
text3053,branch3053,2023-02-22 12:51:25.888843,92,True,text3053,branch3053,2023-02-22 12:51:25.888845,72,False
text3054,branch3054,2023-02-22 12:51:25.888847,13,False,text3054,branch3054,2023-02-22 12:51:25.888850,39,False
text3055,branch3055,2023-02-22 12:51:25.888852,81,False,text3055,branch3055,2023-02-22 12:51:25.888854,17,False
text3056,branch3056,2023-02-22 12:51:25.888856,24,False,text3056,branch3056,2023-02-22 12:51:25.888858,63,True
text3057,branch3057,2023-02-22 12:51:25.888860,87,False,text3057,branch3057,2023-02-22 12:51:25.888862,99,True
text3058,branch3058,2023-02-22 12:51:25.888865,49,False,text3058,branch3058,2023-02-22 12:51:25.888867,70,True
text3059,branch3059,2023-02-22 12:51:25.888869,80,True,text3059,branch3059,2023-02-22 12:51:25.888871,94,True
text3060,branch3060,2023-02-22 12:51:25.888873,13,True,text3060,branch3060,2023-02-22 12:51:25.888875,20,False
text3061,branch3061,2023-02-22 12:51:25.888878,57,False,text3061,branch3061,2023-02-22 12:51:25.888883,44,True
text3062,branch3062,2023-02-22 12:51:25.888885,11,True,text3062,branch3062,2023-02-22 12:51:25.888889,29,False
text3063,branch3063,2023-02-22 12:51:25.888892,52,True,text3063,branch3063,2023-02-22 12:51:25.888894,99,True
text3064,branch3064,2023-02-22 12:51:25.888896,69,False,text3064,branch3064,2023-02-22 12:51:25.888898,86,False
text3065,branch3065,2023-02-22 12:51:25.888900,15,True,text3065,branch3065,2023-02-22 12:51:25.888903,19,False
text3066,branch3066,2023-02-22 12:51:25.888905,63,False,text3066,branch3066,2023-02-22 12:51:25.888907,43,True
